scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
0,PRT_1,4759.8396558983495,74.76814300342357,8.203754153202214,10.01141981923865,33.98302415514535,8731.970302509451,ccgt
0,PRT_2,3291.6304088053266,51.70533272376058,5.673242921866208,6.923320173503346,23.500698296344297,6038.526726611013,ccgt
0,PRT_1,1175.4308877047392,9667.765673776072,109467.28483644967,133.8371305105596,284.2711616007942,4431.647124823983,chp_biofuel_extraction
0,PRT_2,953.754748230737,7844.508352295603,88822.69794063494,108.59660065874274,230.6600694246258,3595.8766542518224,chp_biofuel_extraction
0,PRT_1,2313851.8622978544,4326107.271708202,74804301.45755178,278705.57173394767,1846453.0235553444,106427801.51960371,hydro_reservoir
0,PRT_2,422510.27130416426,789948.9102319465,13659295.229108406,50891.74836385186,337163.057257266,19433758.93117788,hydro_reservoir
0,PRT_1,2170023.384887176,3476245.4837328824,11602115.983826522,256631.18712989488,2522435.79118249,10382815.755904308,hydro_run_of_river
0,PRT_2,324515.26200198714,519853.7130029374,1735033.70262743,38377.80620676065,377216.63156239886,1552693.947360769,hydro_run_of_river
1,PRT_1,24139.964909583177,379.19351888686543,41.60609425986469,50.773837062356655,172.34803479360002,44284.99107798561,ccgt
1,PRT_2,22757.24332994186,357.4735593347764,39.222924085708094,47.86554450889723,162.4760508114163,41748.37542642578,ccgt
1,PRT_1,4356.852949389126,35834.54699922329,405751.5144362173,496.080801433884,1053.6796861491048,16426.34632831876,chp_biofuel_extraction
1,PRT_2,4488.011331911242,36913.307581099245,417966.2283495744,511.0147815962089,1085.3995823533376,16920.84385674062,chp_biofuel_extraction
1,PRT_1,2315658.820995672,4329485.663077882,74862718.45708199,278923.2215607065,1847894.976000697,106510914.29133251,hydro_reservoir
1,PRT_2,422658.0691622723,790225.2414003859,13664073.37230454,50909.55075095204,337280.9998993275,19440557.03323621,hydro_reservoir
1,PRT_1,1947804.888331317,3120264.967378042,10414015.989721308,230351.195416204,2264128.9484641086,9319576.657486252,hydro_run_of_river
1,PRT_2,285366.54866622086,457139.855228319,1525723.556062926,33748.00320650958,331710.15620152885,1365380.8149416414,hydro_run_of_river
2,PRT_1,105827.5752986928,1662.3524857256698,182.39761696680813,222.5882301422488,755.5592851115032,194141.67524522648,ccgt
